title,index_type,link,score,query
Unsigned binaries initiating connections to public IPs,events,Local File,50,netconn_count:[1 TO *] AND digsig_result:Unsigned AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255] OR ipaddr:[64.53.32.192 to 64.53.32.192])  AND os_type:windows
Process spawned via Acrobat,events,Local File,50,parent_name:acrord32.exe
Process spawned via browser,events,Local File,50,parent_name:chrome.exe OR parent_name:iexplore.exe OR parent_name:firefox.exe
Process spawned via Java,events,Local File,50,parent_name:java.exe
Process spawned via Javaw,events,Local File,50,parent_name:javaw.exe
Process spawned via Outlook,events,Local File,50,parent_name:outlook.exe
Process spawned via Services.exe with >1 network connection,events,Local File,50,parent_name:services.exe AND netconn_count:[1 TO *]
Wininit started by something other than smss.exe,events,Local File,50,-parent_name:smss.exe AND parent_name:* AND process_name:wininit.exe
Unsigned binaries started by taskeng.exe that have network communications with public IP space,events,Local File,50,parent_name:taskeng.exe AND netconn_count:[1 TO *] AND -digsig_result:signed AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255])  AND os_type:windows -alliance_score_deloitteexceptions:[1 TO *] 
Taskeng.exe starting at.exe or schtasks.exe,events,Local File,50,parent_name:taskeng.exe OR process_name:at.exe OR process_name:schtasks.exe
Process spawned via Word,events,Local File,50,parent_name:winword.exe
"Process spawned via Word, Excel, PowerPoint, or Acrobat Reader",events,Local File,50,parent_name:winword.exe OR parent_name:excel.exe OR parent_name:powerpnt.exe OR parent_name:AcroRd32.exe
Unsigned binaries executed from drives other than C or D,events,Local File,50,-path:C* and -path:D* AND -digsig_result:'Signed'
Execution from RECYCLER,events,Local File,50,path:RECYCLER/*.exe
Execution from System Volume Information,events,Local File,50,path:System\ Volume\ Information*
Execution from Windows/IME,events,Local File,50,path:Windows/IME/*.exe
Enumeration of user sessions,events,Local File,50,path:windows/system32/quser.exe
Suspicious filename (extension hiding),events,Local File,50,process_name:*.txt.exe OR process_name:*.pdf.exe OR process_name:*.rtf.exe OR process_name:*.jpg.exe OR process_name:*.xml.exe OR process_name:*.gif.exe OR process_name:*.htm.exe OR process_name:*.html.exe OR process_name:*.zip.exe
Scheduled task execution,events,Local File,50,process_name:at.exe OR process_name:schtask.exe
CMD shell spawned by Excel,events,Local File,50,process_name:cmd.exe parent_name:excel.exe
Typical troubleshooting / enumeration tools,events,Local File,50,process_name:enum.exe OR process_name:sc.exe OR process_name:netsh.exe OR process_name:arp.exe OR process_name:nmap.exe OR process_name:tasklist.exe OR process_name:tracert.exe OR process_name:ping.exe OR process_name:netstat.exe
Regedit spawned by process other than explorer,events,Local File,50,(-process_name:explorer.exe AND (childproc_name:regedit.exe OR childproc_name:regedt32.exe))
FTP usage,events,Local File,50,process_name:ftp.exe
Internet Explorer run by SYSTEM,events,Local File,50,process_name:iexplore.exe username:system
Suspicious filename (misspelled system files),events,Local File,50,process_name:isass.exe OR process_name:svch0st.exe OR process_name:svchost.dll OR process_name:lexplore.exe OR process_name:lexplorer.exe OR process_name:svchosts.exe OR process_name:csrsr.exe
RDP sessions to external IP space,events,Local File,50,process_name:mstsc.exe AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255]) AND -ipaddr:[64.53.32.0 to 64.53.32.254])
Net.exe started by process other than gpshell.exe,events,Local File,50,process_name:net.exe -parent_name:gpshell.exe
Notepad spawning child process,events,Local File,50,process_name:notepad.exe AND childproc_name:*.exe
Powershell spawning dllhost.exe,events,Local File,50,process_name:powershell.exe AND childproc_name:dllhost.exe
Powershell Bypass,events,Local File,50,process_name:powershell.exe and cmdline:bypass
Powershell Encoded Command,events,Local File,50,process_name:powershell.exe and cmdline:-encodedcommand
Powershell IEX,events,Local File,50,process_name:powershell.exe AND cmdline:iex
Powershell started by rundll32.exe,events,Local File,50,process_name:powershell.exe AND parent_name:rundll32.exe
Powershell Download,events,Local File,50,process_name:powershell.exe cmdline:net.webclient\).downloadstring\(http:
Powershell started by process other than explorer or gpscript,events,Local File,50,process_name:powershell.exe -parent_name:explorer.exe -parent_name:gpscript.exe
RAR usage,events,Local File,50,process_name:rar.exe
Robocopy usage,events,Local File,50,process_name:robocopy.exe
Runas usage,events,Local File,50,process_name:runas.exe OR cmdline:runas
Rundll32 usage,events,Local File,50,process_name:rundll32.exe
Rundll32 used to run html,events,Local File,50,"process_name:rundll32.exe AND cmdline:mshtml,runhtmlapplication"
Rundll32 used to run javascript,events,Local File,50,"process_name:rundll32.exe cmdline:""javascript:\"""""
Smss started by suspicious process,events,Local File,50,process_name:smss.exe AND parent_name:* AND -parent_name:smss.exe AND -parent_name:ntkrnlpa.exe AND -parent_name:ntoskrnl.exe
Svchost with unusual username,events,Local File,50,"process_name:svchost.exe (-username:SYSTEM OR -username:""NETWORK SERVICE"" OR -username:""LOCAL SERVICE"")"
WMIC usage,events,Local File,50,process_name:wmic.exe
Wscript usage,events,Local File,50,process_name:wscript.exe
Registry modification to context menu,events,Local File,50,"regmod:""software\classes\*"" AND regmod:""shellex\contextmenuhandlers"""
Startup Registry Modification (Run),events,Local File,50,"regmod:""software\microsoft\windows\currentversion\run"""
Startup Registry Modification (RunOnce),events,Local File,50,"regmod:""software\microsoft\windows\currentversion\runonce"""
Registry modification to Hidden entry by process other than explorer,events,Local File,50,regmod:\registry\user\*\software\microsoft\windows\CurrentVersion\Explorer\Advanced\Hidden And -process_name:explorer.exe
Registry modification to UILanguages,events,Local File,50,regmod:control\MUI\UILanguages\*
Startup Registry Modification (Run*),events,Local File,50,regmod:CurrentVersion\Run*
Windows Credential Editor usage,events,Local File,50,process_name:wce.exe
Powershell creating remote threads,events,Local File,50,"crossproc_type:""remotethread"" process_name:powershell.exe"
CRSS.EXE,events,Local File,50,process_name:csrss.exe
